product_handle,metafield_key,before,after
duraguard-coiled-usb-c-charge-sync-100w-1-5-meter-black-cable,product_features,"<ul> <li>Coiled USB-C cable provides the perfect way of connecting your devices without having a tangled cable mess </li><li>Up to 100W Power Delivery high-speed charging for all your USB-C devices when paired with a USB-C charger. (Charger not included) </li><li>High-Speed Data Transfer: Transfer m","<ul> <li>Coiled USB-C cable provides the perfect way of connecting your devices without having a tangled cable mess </li><li>Up to 100W Power Delivery high-speed charging for all your USB-C devices when paired with a USB-C charger. (Charger not included) </li><li>High-Speed Data Transfer: Transfer m"
duraguard-usb-c-right-angled-charge-sync-100w-1-2-meter-cable,product_features,"<ul> <li>Right Angled 90-Degree design, makes the USB-C to USB-C cable minimize strain by reducing bending stress and extending cable lifespan </li><li>Up to 100W Power Delivery high-speed charging for all your USB-C devices when paired with a USB-C charger. (Charger not included) </li><li>High-Spee","<ul> <li>Right Angled 90-Degree design, makes the USB-C to USB-C cable minimize strain by reducing bending stress and extending cable lifespan </li><li>Up to 100W Power Delivery high-speed charging for all your USB-C devices when paired with a USB-C charger. (Charger not included) </li><li>High-Spee"
duraguard-usb-c-to-hdmi-4k-60hz-cable-with-hdr,product_features,"<ul> <li>Operate HDMI 4K 60Hz external display such as monitor, TV or projector to create extended or mirror mode with digital sound, and HDCP 2.2</li> <li>Supports HDR10 (High Dynamic Range)</li> <li>Resolution up to 4K at 60Hz</li> <li>Reinforced with Kevlar� through the center of the cables core<","<ul> <li>Operate HDMI 4K 60Hz external display such as monitor, TV or projector to create extended or mirror mode with digital sound, and HDCP 2.2</li> <li>Supports HDR10 (High Dynamic Range)</li> <li>Resolution up to 4K at 60Hz</li> <li>Reinforced with Kevlar® through the center of the cables core<"
duraguard-usb-c-to-displayport-4k-60hz-cable,product_features,"<ul> <li>Operate DisplayPort 4K 60Hz external display such as monitor or projector to create extended or mirror mode with digital sound</li> <li>Reinforced with Kevlar� through the center of the cables core</li> <li>Resolution up to 4K at 60Hz</li> <li>Nylon braided outer sheath, strain relief and s","<ul> <li>Operate DisplayPort 4K 60Hz external display such as monitor or projector to create extended or mirror mode with digital sound</li> <li>Reinforced with Kevlar® through the center of the cables core</li> <li>Resolution up to 4K at 60Hz</li> <li>Nylon braided outer sheath, strain relief and s"
duraguard-usbc-to-hdmi-8k-60hz-cable-with-hdr-details-ss103,product_features,"<ul> <li>Operate HDMI 8K 60Hz external display such as monitor, TV or projector to create extended or mirror mode with digital sound, and HDCP 2.3</li> <li>Supports HDR10 (High Dynamic Range)</li> <li>Resolution up to 8K at 60Hz</li> <li>Reinforced with Kevlar� through the center of the cables core<","<ul> <li>Operate HDMI 8K 60Hz external display such as monitor, TV or projector to create extended or mirror mode with digital sound, and HDCP 2.3</li> <li>Supports HDR10 (High Dynamic Range)</li> <li>Resolution up to 8K at 60Hz</li> <li>Reinforced with Kevlar® through the center of the cables core<"
high-speed-hdmi-premium-certified-4k-60hz-cable,product_highlight,"<h3>2 Meter (6.56 feet) HDMI Premium Certified 4K 60Hz Cable </h3> <p>The latest EZQuest High Speed HDMI premium certified 4K 60Hz cable is based on HDMI� Specification 2.0 which supports video resolutions and refresh rates up to 4K. Static HDR formats are also supported, and bandwidth up to 18Gbps.","<h3>2 Meter (6.56 feet) HDMI Premium Certified 4K 60Hz Cable </h3> <p>The latest EZQuest High Speed HDMI premium certified 4K 60Hz cable is based on HDMI® Specification 2.0 which supports video resolutions and refresh rates up to 4K. Static HDR formats are also supported, and bandwidth up to 18Gbps."
dual-usb-c-multimedia-hub-13-ports,product_compatibility_html,"<ul> <li>Intel Based Mac�s with 2 USB-C Ports</li> <li>M1 Based MacBook Pro 13� and Air 2020*</li> </ul> <p>*Due to Apple M1 limitation on MacBook Pro 13� &amp; Air 2020, you can only use one extended external display.</p>","<ul> <li>Intel Based Mac’s with 2 USB-C Ports</li> <li>M1 Based MacBook Pro 13” and Air 2020*</li> </ul> <p>*Due to Apple M1 limitation on MacBook Pro 13” &amp; Air 2020, you can only use one extended external display.</p>"
45w-gan-usb-c-pd-wall-charger,product_compatibility_html,"<ul> <li>Laptops: <br> MacBook Pro 13�, 14 � 15� &amp;16�/ MacBook Air 13� &amp; 15� / MacBook 12"" / Spectre x360 / Yoga 720 / Xiaomi Air and More</li> <li>Tablets:<br> iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11""<br> Note: Use a USB-C to Lightning cable for Power Delivery fast charging for iP","<ul> <li>Laptops: <br> MacBook Pro 13”, 14” 15” &amp;16”/ MacBook Air 13” &amp; 15” / MacBook 12"" / Spectre x360 / Yoga 720 / Xiaomi Air and More</li> <li>Tablets:<br> iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11""<br> Note: Use a USB-C to Lightning cable for Power Delivery fast charging for iPa"
65w-gan-usb-c-pd-wall-charger,product_compatibility_html,"<ul> <li>Laptops: <br> MacBook Pro 13�, 14 � 15� &amp;16�/ MacBook Air 13� &amp; 15� / MacBook 12"" / Spectre x360 / Yoga 720 / Xiaomi Air and More</li> <li>Tablets:<br> iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11""<br> Note: Use a USB-C to Lightning cable for Power Delivery fast charging for iP","<ul> <li>Laptops: <br> MacBook Pro 13”, 14” 15” &amp;16”/ MacBook Air 13” &amp; 15” / MacBook 12"" / Spectre x360 / Yoga 720 / Xiaomi Air and More</li> <li>Tablets:<br> iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11""<br> Note: Use a USB-C to Lightning cable for Power Delivery fast charging for iPa"
usb-c-66w-car-charger-dual-port-with-display,product_features,"<ul> <li>Power Delivery: Loaded with 66W of charging power�the perfect match for the latest iPhone, iPad and MacBook Air 13-inch.</li> <li>Break the Speed Limit: Simultaneously charge 2 devices up to 1.5 hours faster than standard chargers, leaving them in the dust.</li> <li>Universal Compatibility:","<ul> <li>Power Delivery: Loaded with 66W of charging power—the perfect match for the latest iPhone, iPad and MacBook Air 13-inch.</li> <li>Break the Speed Limit: Simultaneously charge 2 devices up to 1.5 hours faster than standard chargers, leaving them in the dust.</li> <li>Universal Compatibility:"
usb-c-66w-car-charger-dual-port-with-display,product_compatibility_html,"<ul> <li>Laptops:<br> MacBook 12�, MacBook Air 13 &amp; 15� (Full Speed)<br> MacBook Pro 13�, 14 � 15� &amp;16� (Not Full Speed)<br> Spectre x360 / Yoga 720 / Xiaomi Air and More</li> <li>Tablets:<br> iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11�, iPad Mini<br> Note: Use a USB-C to Lightning cabl","<ul> <li>Laptops:<br> MacBook 12”, MacBook Air 13 &amp; 15” (Full Speed)<br> MacBook Pro 13”, 14” 15” &amp;16” (Not Full Speed)<br> Spectre x360 / Yoga 720 / Xiaomi Air and More</li> <li>Tablets:<br> iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11”, iPad Mini<br> Note: Use a USB-C to Lightning cable"
ultimatepower-usb-c-72w-car-charger-dual-port-with-display,product_compatibility_html,"<ul> <li>Laptops:<br> MacBook 12�, MacBook Air 13 &amp; 15� (Full Speed)<br> MacBook Pro 13�, 14 � 15� &amp;16� (Not Full Speed)<br> Spectre x360 / Yoga 720 / Xiaomi Air and More</li> <li>Tablets:<br> iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11�, iPad Mini<br> Note: Use a USB-C to Lightning cabl","<ul> <li>Laptops:<br> MacBook 12”, MacBook Air 13 &amp; 15” (Full Speed)<br> MacBook Pro 13”, 14” 15” &amp;16” (Not Full Speed)<br> Spectre x360 / Yoga 720 / Xiaomi Air and More</li> <li>Tablets:<br> iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11”, iPad Mini<br> Note: Use a USB-C to Lightning cable"
ultra-hd-high-speed-hdmi-10k-60hz-cable,product_highlight,"<h3>2.2 Meter (7.2 feet) Cable With Nylon Braided and Brushed Anodized Aluminum Connector Housings</h3> <p>The latest EZQuest Ultra HD High Speed HDMI 10K 60Hz cable is based on HDMI� Specification 2.1 which supports a range of higher video resolutions and refresh rates including 8K 60Hz and 4K 120H","<h3>2.2 Meter (7.2 feet) Cable With Nylon Braided and Brushed Anodized Aluminum Connector Housings</h3> <p>The latest EZQuest Ultra HD High Speed HDMI 10K 60Hz cable is based on HDMI® Specification 2.1 which supports a range of higher video resolutions and refresh rates including 8K 60Hz and 4K 120H"
ultraslim-wall-charger-dual-usb-c-70w,product_compatibility_html,"<ul> <li>Laptops: MacBook Pro 13�, 14 � 15� &amp;16�/ MacBook Air 13� &amp; 15� / MacBook 12"" / Spectre x360 / Yoga 720 / Xiaomi Air and More.</li> <li>Tablets: iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11"" Note: Use a USB-C to Lightning cable for Power Delivery fast charging for iPad models ea","<ul> <li>Laptops: MacBook Pro 13”, 14” 15” &amp;16”/ MacBook Air 13” &amp; 15” / MacBook 12"" / Spectre x360 / Yoga 720 / Xiaomi Air and More.</li> <li>Tablets: iPad Pro 12.9"" / iPad Pro 10.5'' / iPad Pro 11"" Note: Use a USB-C to Lightning cable for Power Delivery fast charging for iPad models ear"
usb-4-dual-display-8-in-1-hub-pro-series,product_features,"<ul> <li><b>Powered By:</b> Intel Hoover Ridge JHL8140 USB4/TB4 Chipset</li> <li><b>Display Support:</b><br> � Connect one external display up to 8K @ 30Hz via any of the 3 USB 4 Ports<br> � Connect dual 4K @ 60Hz USB-C displays when using any of the 3 USB 4 ports on Windows, Linux, Android and Chro","<ul> <li><b>Powered By:</b> Intel Hoover Ridge JHL8140 USB4/TB4 Chipset</li> <li><b>Display Support:</b><br> • Connect one external display up to 8K @ 30Hz via any of the 3 USB 4 Ports<br> • Connect dual 4K @ 60Hz USB-C displays when using any of the 3 USB 4 ports on Windows, Linux, Android and Chro"
usb-4-dual-display-8-in-1-hub-pro-series,product_specifications,"<ul> <li>Part Number: H20008</li> <li>UPC Code: 694307200081</li> <li>Powered By: Intel Hoover Ridge JHL8140 USB 4/TB 4</li> <li>Input: USB-C (USB4 / Thunderbolt 3/4/5 compatible)</li> <li>Video Output: Up to 8K @ 30Hz (single) / 4K @ 60Hz (dual on Windows, Windows, Linux, Android, Chrome and Mac OS","<ul> <li>Part Number: H20008</li> <li>UPC Code: 694307200081</li> <li>Powered By: Intel Hoover Ridge JHL8140 USB 4/TB 4</li> <li>Input: USB-C (USB4 / Thunderbolt 3/4/5 compatible)</li> <li>Video Output: Up to 8K @ 30Hz (single) / 4K @ 60Hz (dual on Windows, Windows, Linux, Android, Chrome and Mac OS"
usb-4-dual-display-8-in-1-hub-pro-series,product_compatibility_html,"<ul> <li>All Apple products with USB-C</li> <li>USB 4 and Thunderbolt 3/4/5 ready computers</li> <li>Windows OS 11/10/8.1, Mac 10.13.6+, Chrome 46+, Android 7.0+ and Linux</li> <li>Examples: MacBook Pro/Air, iPad Pro, iMac, Mac Mini, Google Chromebook Pixel, HP Envy, Spectre, Dell Latitude, Asus Zen","<ul> <li>All Apple products with USB-C</li> <li>USB 4 and Thunderbolt 3/4/5 ready computers</li> <li>Windows OS 11/10/8.1, Mac 10.13.6+, Chrome 46+, Android 7.0+ and Linux</li> <li>Examples: MacBook Pro/Air, iPad Pro, iMac, Mac Mini, Google Chromebook Pixel, HP Envy, Spectre, Dell Latitude, Asus Zen"
pro-series-usb-c-5in1-hub,product_features,"<ul> <li><b>Display Support:</b><br> � Connect one external display up to 4K @ 60Hz via HDMI</li> <li><b>USB-A Ports:</b><br> <b>� 1 � USB-A 3.0</b> supports 5Gbps data and 7.5W (5V/1.5A) power output.<br> <b>� 2 � USB-A 2.0</b> supports 480Mbps data and 7.5W (5V/1.5A) power output.<br> <b>� 1 � USB","<ul> <li><b>Display Support:</b><br> • Connect one external display up to 4K @ 60Hz via HDMI</li> <li><b>USB-A Ports:</b><br> <b>’ 1 × USB-A 3.0</b> supports 5Gbps data and 7.5W (5V/1.5A) power output.<br> <b>’ 2 × USB-A 2.0</b> supports 480Mbps data and 7.5W (5V/1.5A) power output.<br> <b>’ 1 × USB"
pro-series-usb-c-5in1-hub,product_specifications,"<ul> <li>Part Numbers: H30005 (Black) / H30015 (White)</li> <li>UPC: 694307300057 (Black) / 694307300156 (White)</li> <li>Input: USB-C (USB4 / Thunderbolt 3/4/5 compatible)</li> <li>Video Output: HDMI up to 4K @ 60Hz</li> <li>Data Ports: 1 � USB-A 3.0 (5Gbps),<br> 2 � USB-A 2.0 (480Mbps)</li> <li>Po","<ul> <li>Part Numbers: H30005 (Black) / H30015 (White)</li> <li>UPC: 694307300057 (Black) / 694307300156 (White)</li> <li>Input: USB-C (USB4 / Thunderbolt 3/4/5 compatible)</li> <li>Video Output: HDMI up to 4K @ 60Hz</li> <li>Data Ports: 1 × USB-A 3.0 (5Gbps),<br> 2 × USB-A 2.0 (480Mbps)</li> <li>Po"
pro-series-usb-c-5in1-hub,product_compatibility_html,"<ul> <li>All Apple devices with USB-C</li> <li>USB4 and Thunderbolt 3/4/5 ready computers</li> <li>Windows OS 11/10/8.1, Mac 10.13.6+, Chrome 46+, Android 7.0+ and Linux</li> <li>Examples: MacBook Pro/Air, iPad Pro, iMac, Mac Mini, Google Chromebook Pixel, HP Envy, Spectre, Dell Latitude, Asus Zenbo","<ul> <li>All Apple devices with USB-C</li> <li>USB4 and Thunderbolt 3/4/5 ready computers</li> <li>Windows OS 11/10/8.1, Mac 10.13.6+, Chrome 46+, Android 7.0+ and Linux</li> <li>Examples: MacBook Pro/Air, iPad Pro, iMac, Mac Mini, Google Chromebook Pixel, HP Envy, Spectre, Dell Latitude, Asus Zenbo"
usb-c-card-reader-ss42,product_compatibility_html,"<ul> <li>All Apple computers with USB-C/Thunderbolt<sup>™</sup> 3 ports</li> <li>Google Chromebook Pixel</li> <li>HP Spectre and HP Pavilion X2</li> <li>Dell XPS 13/15</li> <li>Lenovo Yoga 5 Pro</li> <li>Thunderbolt� 3 ready computers</li> <li>USB-C ready computers/devices</li> <li>Smartphones and t","<ul> <li>All Apple computers with USB-C/Thunderbolt<sup>™</sup> 3 ports</li> <li>Google Chromebook Pixel</li> <li>HP Spectre and HP Pavilion X2</li> <li>Dell XPS 13/15</li> <li>Lenovo Yoga 5 Pro</li> <li>Thunderbolt® 3 ready computers</li> <li>USB-C ready computers/devices</li> <li>Smartphones and t"
usb-c-dual-display-12-in-1-multimedia-hub-pro-series,product_features,"<ul> <li><b>Display Support:</b><br> <b>� Single display:</b> Up to 4K @ 60Hz via HDMI<br> <b>� Dual display:</b> Up to 4K @ 60Hz each on Windows, Linux, Android and Chrome OS Only</li> <li><b>USB Ports:</b><br> <b>� 2 � USB-C Ports:</b> 5Gbps data transfer with up to 7.5W (5V/1.5A) power output<br>","<ul> <li><b>Display Support:</b><br> <b>’ Single display:</b> Up to 4K @ 60Hz via HDMI<br> <b>’ Dual display:</b> Up to 4K @ 60Hz each on Windows, Linux, Android and Chrome OS Only</li> <li><b>USB Ports:</b><br> <b>’ 2 × USB-C Ports:</b> 5Gbps data transfer with up to 7.5W (5V/1.5A) power output<br>"
usb-c-dual-display-12-in-1-multimedia-hub-pro-series,product_specifications,"<ul> <li>Part Number: H30012</li> <li>UPC Code: 694307300125</li> <li>Input: USB-C (USB4 / Thunderbolt 3/4/5 compatible)</li> <li>Video Output: Up to 4K @ 60Hz single (Mac/Windows), 4K @ 60Hz dual (Windows, Linux, Android and Chrome OS Only)</li> <li>Data Ports: 2 � USB-C (5Gbps), 3 � USB-A 3.0 (5Gb","<ul> <li>Part Number: H30012</li> <li>UPC Code: 694307300125</li> <li>Input: USB-C (USB4 / Thunderbolt 3/4/5 compatible)</li> <li>Video Output: Up to 4K @ 60Hz single (Mac/Windows), 4K @ 60Hz dual (Windows, Linux, Android and Chrome OS Only)</li> <li>Data Ports: 2 × USB-C (5Gbps), 3 × USB-A 3.0 (5Gb"
usb-c-multimedia-10-in-1-gen-2-hub,product_compatibility_html,"<ul> <li>All Apple computers with USB-C/USB4, Thunderbolt 3/4 ports </li> <li>All PC computers with USB-C/USB4, Thunderbolt 3/4 ports </li> <li>Smartphones and tablets with OTG support</li> <li>Samsung Galaxy S8, S9, S8 &amp; S9 Plus </li> <li>Google Chromebook Pixel </li> <li>Mac OS Version 10.13.6","<ul> <li>All Apple computers with USB-C/USB4, Thunderbolt 3/4 ports </li> <li>All PC computers with USB-C/USB4, Thunderbolt 3/4 ports </li> <li>Smartphones and tablets with OTG support</li> <li>Samsung Galaxy S8, S9, S8 &amp; S9 Plus </li> <li>Google Chromebook Pixel </li> <li>Mac OS Version 10.13.6"
usb-c-multimedia-7-in-1-hub,product_compatibility_html,"<ul> <li>All Apple computers with USB-C/USB4, Thunderbolt 3/4 ports</li> <li>All PC computers with USB-C/USB4, Thunderbolt 3/4 ports </li> <li>Smartphones and tablets with OTG support </li> <li>Nintendo Switch </li> <li>Samsung Galaxy S8, S9, S8 &amp; S9 Plus </li> <li>Google Chromebook Pixel </li> ","<ul> <li>All Apple computers with USB-C/USB4, Thunderbolt 3/4 ports</li> <li>All PC computers with USB-C/USB4, Thunderbolt 3/4 ports </li> <li>Smartphones and tablets with OTG support </li> <li>Nintendo Switch </li> <li>Samsung Galaxy S8, S9, S8 &amp; S9 Plus </li> <li>Google Chromebook Pixel </li> "
usb-c-multimedia-8-in-1-hub,product_compatibility_html,"<ul> <li>All Apple computers with USB-C/USB4, Thunderbolt 3/4 ports </li> <li>All PC computers with USB-C/USB4, Thunderbolt 3/4 ports </li> <li>Smartphones and tablets with OTG support</li> <li>Nintendo Switch </li> <li>Samsung Galaxy S8, S9, S8 &amp; S9 Plus </li> <li>Google Chromebook Pixel </li> ","<ul> <li>All Apple computers with USB-C/USB4, Thunderbolt 3/4 ports </li> <li>All PC computers with USB-C/USB4, Thunderbolt 3/4 ports </li> <li>Smartphones and tablets with OTG support</li> <li>Nintendo Switch </li> <li>Samsung Galaxy S8, S9, S8 &amp; S9 Plus </li> <li>Google Chromebook Pixel </li> "
usb-c-multimedia-charging-adapter-3-ports,product_highlight,"<p>HDMI 4K, 100 Watts USB-C Power Delivery 3.0 , USB 3.0 with BC 1.2</p> <h3>Stream, Connect, and Charge</h3> <p>The EZQuest USB-C Multimedia Charging Adapter connects your MacBook's USB-C ready computers, smartphones and tablets USB-C port to an HDMI display, while also connecting a standard USB de","<p>HDMI 4K, 100 Watts USB-C Power Delivery 3.0 , USB 3.0 with BC 1.2</p> <h3>Stream, Connect, and Charge</h3> <p>The EZQuest USB-C Multimedia Charging Adapter connects your MacBook's USB-C ready computers, smartphones and tablets USB-C port to an HDMI display, while also connecting a standard USB de"
usb-c-multimedia-hub-adapter-8-ports,product_compatibility_html,"<ul> <li>All Apple computers with USB-C ports</li> <li>Google Chromebook Pixel</li> <li>HP Spectre and HP Pavilion X2</li> <li>Dell XPS 13/15</li> <li>Lenovo Yoga 5 Pro</li> <li>Thunderbolt� 3 ready computers</li> <li>USB-C ready computers/devices</li> <li>Smartphones and tablets with OTG support</l","<ul> <li>All Apple computers with USB-C ports</li> <li>Google Chromebook Pixel</li> <li>HP Spectre and HP Pavilion X2</li> <li>Dell XPS 13/15</li> <li>Lenovo Yoga 5 Pro</li> <li>Thunderbolt® 3 ready computers</li> <li>USB-C ready computers/devices</li> <li>Smartphones and tablets with OTG support</l"
usb-c-to-2-5-gigabit-ethernet-adapter,product_highlight,"<h3>Fast and Reliable Internet and Network Connection</h3> <p>The EZQuest USB-C to 2.5 Gigabit Ethernet Adapter lets your new MacBooks or any USB-C /Thunderbolt 3-ready computers connect directly to the Internet, when Wi-Fi is not available, or when a high-performance, sustained, and secure connecti","<h3>Fast and Reliable Internet and Network Connection</h3> <p>The EZQuest USB-C to 2.5 Gigabit Ethernet Adapter lets your new MacBooks or any USB-C /Thunderbolt 3-ready computers connect directly to the Internet, when Wi-Fi is not available, or when a high-performance, sustained, and secure connecti"
usb-c-to-displayport-4k-60hz-adapter,product_compatibility_html,"<ul> <li>All Apple products with USB-C ports</li> <li>Google Chromebook Pixel</li> <li>HP Spectre and HP Pavilion X2</li> <li>Dell XPS 13/15</li> <li>Lenovo Yoga 5 Pro</li> <li>Thunderbolt� 3 ready computers</li> <li>USB-C ready computers</li> <li>USB-C ready computers/devices</li> <li>Smartphones a","<ul> <li>All Apple products with USB-C ports</li> <li>Google Chromebook Pixel</li> <li>HP Spectre and HP Pavilion X2</li> <li>Dell XPS 13/15</li> <li>Lenovo Yoga 5 Pro</li> <li>Thunderbolt® 3 ready computers</li> <li>USB-C ready computers</li> <li>USB-C ready computers/devices</li> <li>Smartphones a"
superspeed-gen-1-usb-c-to-usb-a-mini-adapter,product_features,"<ul> <li>Convert your existing USB cable into a USB-C�/Thunderbolt� 3 Cable</li> <li>Connect your iPhone, iPad, iPod, mouse, printer or other USB devices to a USB-C� or Thunderbolt� 3 ready computer</li> <li>Designed with a durable spacer to strengthen and add length for charging without removing pr","<ul> <li>Convert your existing USB cable into a USB-C®/Thunderbolt® 3 Cable</li> <li>Connect your iPhone, iPad, iPod, mouse, printer or other USB devices to a USB-C® or Thunderbolt® 3 ready computer</li> <li>Designed with a durable spacer to strengthen and add length for charging without removing pr"
superspeed-gen-1-usb-c-to-usb-a-mini-adapter,product_specifications,"<ul> <li>Part Number: X40077</li> <li>UPC Code: 694307400771</li> <li>Color: Silver</li> <li>Connector: USB-C� to USB-A Female</li> <li>Length: 1.4 inches/39 mm</li> <li>USB Compatibility: USB-C� (USB Type-C), USB 3.0, USB 2.0</li> <li>Housing Material: Anodized aluminum</li> <li>One (1) year warran","<ul> <li>Part Number: X40077</li> <li>UPC Code: 694307400771</li> <li>Color: Silver</li> <li>Connector: USB-C® to USB-A Female</li> <li>Length: 1.4 inches/39 mm</li> <li>USB Compatibility: USB-C® (USB Type-C), USB 3.0, USB 2.0</li> <li>Housing Material: Anodized aluminum</li> <li>One (1) year warran"
superspeed-gen-1-usb-c-to-usb-a-mini-adapter,product_compatibility_html,"<ul> <li>MacBookPro 15-inch with USB-C/Thunderbolt� 3 ports</li> <li>MacBook Pro 13-inch with USB-C/Thunderbolt� 3 ports</li> <li>MacBook 12-inch with USB-C port</li> <li>Google Chromebook Pixel</li> <li>HP Spectre and HP Pavilion X2</li> <li>Dell XPS 13/15</li> <li>Lenovo Yoga 5 Pro</li> <li>USB-C ","<ul> <li>MacBookPro 15-inch with USB-C/Thunderbolt® 3 ports</li> <li>MacBook Pro 13-inch with USB-C/Thunderbolt® 3 ports</li> <li>MacBook 12-inch with USB-C port</li> <li>Google Chromebook Pixel</li> <li>HP Spectre and HP Pavilion X2</li> <li>Dell XPS 13/15</li> <li>Lenovo Yoga 5 Pro</li> <li>USB-C "
x40013-usb-c-to-vga-adapter,product_features,"<ul> <li>Resolution up to 2048 x 1152 at 60Hz</li> <li>Connect Your Computer�s USB-C port to VGA Display or Projector</li> <li>Perfect for Presentations</li> <li>Plug n� Play</li> <li>Add Second Display for Multi-Tasking or Video Game Play</li> </ul>","<ul> <li>Resolution up to 2048 x 1152 at 60Hz</li> <li>Connect Your Computer’s USB-C port to VGA Display or Projector</li> <li>Perfect for Presentations</li> <li>Plug n’ Play</li> <li>Add Second Display for Multi-Tasking or Video Game Play</li> </ul>"
x40013-usb-c-to-vga-adapter,product_highlight,"<h3>Extend the Use of Older Display Monitors</h3> <p>If you already have a display monitor that suits your needs, extend its use by connecting your new MacBook, MacBook Pro or any other USB-C equipped computer with our USB-C to VGA adapter.</p> <h3>Be Ready to Present</h3> <p>Use the EZQuest USB-C t","<h3>Extend the Use of Older Display Monitors</h3> <p>If you already have a display monitor that suits your needs, extend its use by connecting your new MacBook, MacBook Pro or any other USB-C equipped computer with our USB-C to VGA adapter.</p> <h3>Be Ready to Present</h3> <p>Use the EZQuest USB-C t"
x40013-usb-c-to-vga-adapter,product_compatibility_html,"<ul> <li>MacBook Pro 15-inch with USB-C/Thunderbolt™ 3 ports</li> <li>MacBook Pro 13-inch with USB-C/Thunderbolt™ 3 ports</li> <li>MacBook 12-inch with USB-C port</li> <li>Google Chromebook Pixel</li> <li>HP Spectre</li> <li>Dell XPS 13 9350</li> <li>USB-C ready computers Thunderbolt 3 ready compute","<ul> <li>MacBook Pro 15-inch with USB-C/Thunderbolt™ 3 ports</li> <li>MacBook Pro 13-inch with USB-C/Thunderbolt™ 3 ports</li> <li>MacBook 12-inch with USB-C port</li> <li>Google Chromebook Pixel</li> <li>HP Spectre</li> <li>Dell XPS 13 9350</li> <li>USB-C ready computers Thunderbolt 3 ready compute"
